,Type,NATO designation,Pennant No.,Name (English),Name (Han 汉),Commissioned,Displacement[a],Fleet,Status,Displacement,Name (Han 中文),VLS Cells,Classification
228,Type 056A corvette,Jiangdao class |,627,Enshi,,2020,,South Sea Fleet,Active,"1,500 t",恩施,,
229,Type 056A corvette,Jiangdao class |,628,Yongzhou,,2020,,South Sea Fleet,Active,"1,500 t",永州,,
230,Type 056A corvette,Jiangdao class |,605,Zhangjiakou,,2020,,North Sea Fleet,Active,"1,500 t",张家口,,
231,Type 056A corvette,Jiangdao class |,616,Taian,,2020,,East Sea Fleet,Active,"1,500 t",泰安,,
232,Type 056A corvette,Jiangdao class |,615,Xiaogan,,2020,,East Sea Fleet,Active,"1,500 t",孝感,,
233,Type 056A corvette,Jiangdao class |,622,Guangan,,2020,,South Sea Fleet,Active,"1,500 t",广安,,
234,Type 056A corvette,Jiangdao class |,604,Mudanjiang,,2020,,North Sea Fleet,Active,"1,500 t",牡丹江,,
235,Type 056A corvette,Jiangdao class |,617,Jingdezhen,,2020,,East Sea Fleet,Active,"1,500 t",景德镇,,
236,Type 056A corvette,Jiangdao class |,624,Suizhou,,2020,,South Sea Fleet,Active,"1,500 t",随州,,
237,Type 056A corvette,Jiangdao class |,606,Xinji,,2020,,North Sea Fleet,Active,"1,500 t",辛集,,
238,Type 056A corvette,Jiangdao class |,607,Dongying,,2020,,North Sea Fleet,Active,"1,500 t",东营,,
239,Type 056A corvette,Jiangdao class |,609,Shizuishan,,2020,,East Sea Fleet,Active,"1,500 t",石嘴山,,
240,Type 056A corvette,Jiangdao class |,600,Songyuan,,2020,,North Sea Fleet,Active,"1,500 t",松原,,
241,Type 056A corvette,Jiangdao class |,629,Tongling,,2020,,South Sea Fleet,Active,"1,500 t",铜陵,,
242,Type 056A corvette,Jiangdao class |,631,Tianmen,,2021,,South Sea Fleet,Active,"1,500 t",天门,,
243,Type 056A corvette,Jiangdao class |,619,Nanyang,,2021,,East Sea Fleet,Active,"1,500 t",南阳,,
244,Type 056A corvette,Jiangdao class |,618,Shangqiu,,2021,,East Sea Fleet,Active,"1,500 t",商丘,,
245,Type 056A corvette,Jiangdao class |,636,Jining,,2021,,East Sea Fleet,Active,"1,500 t",济宁,,
246,Type 056A corvette,Jiangdao class |,637,Shiyan,,2021,,East Sea Fleet,Active,"1,500 t",十堰,,
247,Type 056A corvette,Jiangdao class |,602,Pingdingshan,,2021,,North Sea Fleet,Active,"1,500 t",平顶山,,
248,Type 056A corvette,Jiangdao class |,630,Aba,,2021,,South Sea Fleet,Active,"1,500 t",阿坝,,
249,Type 022 missile boat,Houbei class,,60 in service,,2004,,,Active,220 t,,,
250,Type 037II missile boat,Houjian class,770.0,Yangjiang,,1991,,South Sea Fleet,Active,520 t,阳江,,
251,Type 037II missile boat,Houjian class,771.0,Shunde,,1995,,South Sea Fleet,Active,520 t,顺德,,
252,Type 037II missile boat,Houjian class,772.0,Nanhai,,1995,,South Sea Fleet,Active,520 t,南海,,
253,Type 037II missile boat,Houjian class,773.0,Panyu,,1995,,South Sea Fleet,Active,520 t,番禹,,
254,Type 037II missile boat,Houjian class,774.0,Lianjiang,,1999,,South Sea Fleet,Active,520 t,廉江,,
255,Type 037II missile boat,Houjian class,775.0,Xinhui,,1999,,South Sea Fleet,Active,520 t,新会,,
256,Type 037IG missile boat,Houxin class,,18 in service,,1991-1999,,,Active,478 t,,,
257,Type 037IS submarine chaser,Haiqing class,,26 in service,,1982-,,,Active,478 t,,,
258,Type 062I gunboat,Shanghai III class,,Approx. 17 in service,,1988-,,,Active,170 t,,,
259,Type 075 landing helicopter dock,Yushen class,31,Hainan,海南,2021,,South Sea Fleet,Active,"40,000 t",,,
260,Type 075 landing helicopter dock,Yushen class,32,Guangxi,广西,2021,,East Sea Fleet,Active,"40,000 t",,,
261,Type 075 landing helicopter dock,Yushen class,33,Anhui,安徽,2022,,East Sea Fleet,Active,"40,000 t",,,
262,Type 075 landing helicopter dock,Yushen class,,Unknown,Unknown,2023,,Unknown,Fitting Out,"40,000 t",,,
263,Type 071 amphibious transport dock,Yuzhao class,998,Kunlun Shan,昆仑山,2007,,South Sea Fleet,Active,"25,000 t",,,
264,Type 071 amphibious transport dock,Yuzhao class,999,Jinggang Shan,井冈山,2011,,South Sea Fleet,Active,"25,000 t",,,
265,Type 071 amphibious transport dock,Yuzhao class,989,Changbai Shan,长白山,2012,,South Sea Fleet,Active,"25,000 t",,,
266,Type 071 amphibious transport dock,Yuzhao class,988,Yimeng Shan,沂蒙山,2016,,East Sea Fleet,Active,"25,000 t",,,
267,Type 071 amphibious transport dock,Yuzhao class,980,Longhu Shan,龙虎山,2018,,East Sea Fleet,Active,"25,000 t",,,
268,Type 071 amphibious transport dock,Yuzhao class,987,Wuzhi Shan,五指山,2019,,South Sea Fleet,Active,"25,000 t",,,
269,Type 071 amphibious transport dock,Yuzhao class,986,Siming Shan,四明山,2020,,East Sea Fleet,Active,"25,000 t",,,
270,Type 071 amphibious transport dock,Yuzhao class,985,Qilian Shan,祁连山,2020,,South Sea Fleet,Active,"25,000 t",,,
271,Type 072A landing ship,Yuting III class,911,Tianzhu Shan,天柱山,2003,,North Sea Fleet,Active,"4,800 t",,,
272,Type 072A landing ship,Yuting III class,912,Daqing Shan,大青山,2003,,North Sea Fleet,Active,"4,800 t",,,
273,Type 072A landing ship,Yuting III class,913,Baxian Shan,八仙山,2003,,East Sea Fleet,Active,"4,800 t",,,
274,Type 072A landing ship,Yuting III class,992,Huading Shan,华顶山,2003,,South Sea Fleet,Active,"4,800 t",,,
275,Type 072A landing ship,Yuting III class,993,Luoxiao Shan,罗宵山,2004,,South Sea Fleet,Active,"4,800 t",,,
276,Type 072A landing ship,Yuting III class,994,Daiyun Shan,戴云山,2004,,South Sea Fleet,Active,"4,800 t",,,
277,Type 072A landing ship,Yuting III class,995,Wanyang Shan,万羊山,2004,,South Sea Fleet,Active,"4,800 t",,,
278,Type 072A landing ship,Yuting III class,996,Laotie Shan,老铁山,2005,,South Sea Fleet,Active,"4,800 t",,,
279,Type 072A landing ship,Yuting III class,997,Lühua Shan,绿华山,2004,,South Sea Fleet,Active,"4,800 t",,,
280,Type 072A landing ship,Yuting III class,981,Dabie Shan,大别山,2015,,East Sea Fleet,Active,"4,800 t",,,
281,Type 072A landing ship,Yuting III class,982,Taihang Shan,太行山,2015,,,Active,"4,800 t",,,
282,Type 072A landing ship,Yuting III class,916,Tianmu Shan,天目山,2016,,East Sea Fleet,Active,"4,800 t",,,
283,Type 072A landing ship,Yuting III class,914,Wuyi Shan,武夷山,2016,,,Active,"4,800 t",,,
284,Type 072A landing ship,Yuting III class,915,Culai Shan,徂徕山,2016,,,Active,"4,800 t",,,
285,Type 072A landing ship,Yuting III class,917,Wutai Shan,五台山,2016,,,Active,"4,800 t",,,
286,Type 072III dock landing ship,Yuting II class,991,Emei Shan,峨眉山,1992,,South Sea Fleet,Active,"4,800 t",,,
287,Type 072III dock landing ship,Yuting II class,934,Danxia Shan,丹霞山,1995,,East Sea Fleet,Active,"4,800 t",,,
288,Type 072III dock landing ship,Yuting II class,935,Xuefeng Shan,雪峰山,1995,,East Sea Fleet,Active,"4,800 t",,,
289,Type 072III dock landing ship,Yuting II class,936,Haiyang Shan,海洋山,1996,,East Sea Fleet,Active,"4,800 t",,,
290,Type 072III dock landing ship,Yuting II class,937,Qingcheng Shan,青城山,1996,,East Sea Fleet,Active,"4,800 t",,,
291,Type 072III dock landing ship,Yuting II class,908,Yandang Shan,雁荡山,1997,,North Sea Fleet,Active,"4,800 t",,,
292,Type 072III dock landing ship,Yuting II class,909,Jiuhua Shan,九华山,2000,,North Sea Fleet,Active,"4,800 t",,,
293,Type 072III dock landing ship,Yuting II class,939,Putuo Shan,普陀山,2000,,East Sea Fleet,Active,"4,800 t",,,
294,Type 072III dock landing ship,Yuting II class,910,Huanggang Shan,黄岗山,2001,,North Sea Fleet,Active,"4,800 t",,,
295,Type 072III dock landing ship,Yuting II class,940,Tiantai Shan,天台山,2002,,East Sea Fleet,Active,"4,800 t",,,
296,Type 072II tank landing ship,Yukan class,931,Dongting Shan,洞庭山,,,South Sea Fleet,Active,"4,170 t",,,
297,Type 072II tank landing ship,Yukan class,932,Helan Shan,贺兰山,,,South Sea Fleet,Active,"4,170 t",,,
298,Type 072II tank landing ship,Yukan class,933,Liupan Shan,六盘山,1995,,South Sea Fleet,Active,"4,170 t",,,
299,Type 073A helicopter landing ship,Yunshu class,941,Mount Sheng,嵊山,2000-2002,,East Sea Fleet,Active,"2,000 t",,,
300,Type 073A helicopter landing ship,Yunshu class,942,Mount Lu,鲁山,2000-2002,,East Sea Fleet,Active,"2,000 t",,,
301,Type 073A helicopter landing ship,Yunshu class,943,Mount Meng,蒙山,2000-2002,,East Sea Fleet,Active,"2,000 t",,,
302,Type 073A helicopter landing ship,Yunshu class,944,Mount Jade,玉山,2000-2002,,East Sea Fleet,Active,"2,000 t",,,
303,Type 073A helicopter landing ship,Yunshu class,945,Mount Hua,华山,2000-2002,,South Sea Fleet,Active,"2,000 t",,,
304,Type 073A helicopter landing ship,Yunshu class,946,Mount Song,嵩山,2000-2002,,South Sea Fleet,Active,"2,000 t",,,
305,Type 073A helicopter landing ship,Yunshu class,947,Mount Lu,庐山,2000-2002,,South Sea Fleet,Active,"2,000 t",,,
306,Type 073A helicopter landing ship,Yunshu class,948,Snow Mountain,雪山,2000-2002,,South Sea Fleet,Active,"2,000 t",,,
307,Type 073A helicopter landing ship,Yunshu class,949,Mount Heng,衡山,2000-2002,,South Sea Fleet,Active,"2,000 t",,,
308,Type 073A helicopter landing ship,Yunshu class,950,Mount Tai,泰山,2000-2002,,South Sea Fleet,Active,"2,000 t",,,
309,Type 073III helicopter landing ship,Yudeng class,990,Mount Golden City,金城山,1991,,South Sea Fleet,Active,"1,850 t",,,
310,Type 074A medium landing ship,Yubei class,3128,Unknown,Unknown,2004,,North Sea Fleet,Active,700 t,,,
311,Type 074A medium landing ship,Yubei class,3129,Unknown,Unknown,2004,,North Sea Fleet,Active,700 t,,,
312,Type 074A medium landing ship,Yubei class,3233,Unknown,Unknown,2004,,East Sea Fleet,Active,700 t,,,
313,Type 074A medium landing ship,Yubei class,3234,Unknown,Unknown,2004,,East Sea Fleet,Active,700 t,,,
314,Type 074A medium landing ship,Yubei class,3315,Unknown,Unknown,2004,,South Sea Fleet,Active,700 t,,,
315,Type 074A medium landing ship,Yubei class,3316,Unknown,Unknown,2004,,South Sea Fleet,Active,700 t,,,
316,Type 074A medium landing ship,Yubei class,3317,Unknown,Unknown,2004,,South Sea Fleet,Active,700 t,,,
317,Type 074A medium landing ship,Yubei class,3318,Unknown,Unknown,2004,,East Sea Fleet,Active,700 t,,,
318,Type 074A medium landing ship,Yubei class,3319,Unknown,Unknown,?,,?,Active,700 t,,,
319,Type 074A medium landing ship,Yubei class,3232,Unknown,Unknown,2005,,East Sea Fleet,Active,700 t,,,
320,Type 074A medium landing ship,Yubei class,3235,Unknown,Unknown,2005,,East Sea Fleet,Active,700 t,,,
321,Type 074 medium landing ship,Yuhai class,3111,Unknown,Unknown,1995,,North Sea Fleet,Active,700 t,,,
322,Type 074 medium landing ship,Yuhai class,3112,Unknown,Unknown,1995 onward,,?,Active,700 t,,,
323,Type 074 medium landing ship,Yuhai class,3113,Unknown,Unknown,1995 onward,,?,Active,700 t,,,
324,Type 074 medium landing ship,Yuhai class,3115,Unknown,Unknown,1995 onward,,?,Active,700 t,,,
325,Type 074 medium landing ship,Yuhai class,3116,Unknown,Unknown,1995 onward,,?,Active,700 t,,,
326,Type 074 medium landing ship,Yuhai class,3117,Unknown,Unknown,1995 onward,,?,Active,700 t,,,
327,Type 074 medium landing ship,Yuhai class,3128,Unknown,Unknown,1995 onward,,?,Active,700 t,,,
328,Type 074 medium landing ship,Yuhai class,3129,Unknown,Unknown,1995 onward,,?,Active,700 t,,,
329,Type 074 medium landing ship,Yuhai class,3144,Unknown,Unknown,1995 onward,,?,Active,700 t,,,
330,Type 074 medium landing ship,Yuhai class,3357,Unknown,Unknown,"February 10, 2017",,PLAN Hong Kong garrison,Active,700 t,,,
331,Type 074 medium landing ship,Yuhai class,3358,Unknown,Unknown,2018,,PLAN Hong Kong garrison,Active,700 t,,,
332,Type 074 medium landing ship,Yuhai class,3359,Unknown,Unknown,2018,,PLAN Hong Kong garrison,Active,700 t,,,
333,Type 271IIIA landing ship medium,Yulü class,Various (5+),Unknown,Unknown,1989 onward,,All fleets,Active,800 t,,,
334,Type 067 utility landing craft,Yunnan class,Various,Not named,Not named,1970s,,All fleets,Active,128 t,,,
335,Type 068 landing craft mechanized,Yuch’in class,Various,Unknown,Unknown,1970 onward,,All fleets,Active,58 t,,,
336,Type 069 landing craft mechanized,Yuch’in class,Various,Unknown,Unknown,1997 onward,,All fleets,Active,≈ 60 t,,,
337,Type 271IID landing craft utility,Yupen class,Various,Unknown,Unknown,1980 onward,,All fleets,Active,507 t,,,
338,Type 271III landing craft utility,Yupen class,Various,Unknown,Unknown,1980s,,All fleets,Active,> 600 t,,,
339,Type 722 II,Jinsha-II class,Various,Not named,Not named,1979 onward,,All fleets,Active,70 t,,,
340,Type 724 LCAC,Payi class,Various,Not named,Not named,1994 onward,,All fleets,Active,6.5 t,,,
341,Type 726 LCAC,Yuyi class,3320,Not named,Not named,2011,,South Sea Fleet,Active,160 t,,,
342,Type 726 LCAC,Yuyi class,3321,Not named,Not named,2013,,South Sea Fleet,Active,160 t,,,
343,Type 726 LCAC,Yuyi class,3322,Not named,Not named,2013,,South Sea Fleet,Active,160 t,,,
344,Type 726A,Yuyi class,3236,Not named,Not named,"January 10, 2018",,East Sea Fleet,Active,160 t,,,
345,Type 726A,Yuyi class,3237,Not named,Not named,"January 10, 2018",,East Sea Fleet,Active,160 t,,,
346,Type 726A,Yuyi class,3238,Not named,Not named,"January 10, 2018",,East Sea Fleet,Active,160 t,,,
347,Type 726A,Yuyi class,3239,Not named,Not named,"January 10, 2018",,East Sea Fleet,Active,160 t,,,
348,Type 726A,Yuyi class,3330,Not named,Not named,2016,,South Sea Fleet,Active,160 t,,,
349,Type 726A,Yuyi class,3331,Not named,Not named,2016,,South Sea Fleet,Active,160 t,,,
350,Type 726A,Yuyi class,3332,Not named,Not named,2016,,South Sea Fleet,Active,160 t,,,
351,Type 726A,Yuyi class,3333,Not named,Not named,2019,,South Sea Fleet,Active,160 t,,,
352,Type 726A,Yuyi class,3334,Not named,Not named,2019,,South Sea Fleet,Active,160 t,,,
353,Type 726A,Yuyi class,3335,Not named,Not named,2019,,South Sea Fleet,Active,160 t,,,
354,Type 726A,Yuyi class,3336,Not named,Not named,2019,,South Sea Fleet,Active,160 t,,,
355,Type 726A,Yuyi class,3337,Not named,Not named,2019,,South Sea Fleet,Active,160 t,,,
356,Project 1232.2 (LCAC),Pomornik class,3325,Not named,Not named,2012,,All fleets,Active,555 t,,,
357,Project 1232.2 (LCAC),Pomornik class,3326,Not named,Not named,2014,,All fleets,Active,555 t,,,
358,Type 958 LCAC,Pomornik class,3327,Not named,Not named,2014,,All fleets,Active,555 t,,,
359,Type 958 LCAC,Pomornik class,3328,Not named,Not named,2017,,All fleets,Active,555 t,,,
360,Type 958 LCAC,Pomornik class,3329,Not named,Not named,2018,,All fleets,Active,555 t,,,
361,Type 958 LCAC,Pomornik class,?,Not named,Not named,2019,,All fleets,Active,555 t,,,
362,Type 010 minesweeper,T43 class,Various,Various,,December 1987 (last batch),,All fleets,Active,590 t,Various,,
363,Type 081 mine hunter/ sweeper,Wochi class,705,Zhangjiagang,,"March 6, 2007",,East Sea Fleet,Active,"1,200 t",张家港,,
364,Type 081 mine hunter/ sweeper,Wochi class,839,Liuyang,,"July 29, 2007",,South Sea Fleet,Active,"1,200 t",浏阳,,
365,Type 081 mine hunter/ sweeper,Wochi class,840,Luxi,,"July 29, 2007",,South Sea Fleet,Active,"1,200 t",泸溪,,
366,Type 081 mine hunter/ sweeper,Wochi class,706,Jingjiang,,"November 9, 2007",,East Sea Fleet,Active,"1,200 t",靖江,,
367,Type 081A mine/ sweeper,Wochi class,841,Xiaoyi,,"February 24, 2012",,South Sea Fleet,Active,"1,200 t",孝义,,
368,Type 081A mine/ sweeper,Wochi class,742,Taishan,,"August 6, 2012",,South Sea Fleet,Active,"1,200 t",台山,,
369,Type 081A mine/ sweeper,Wochi class,743,Changshu,,"May 13, 2013",,South Sea Fleet,Active,"1,200 t",常熟,,
370,Type 081A mine/ sweeper,Wochi class,744,Heshan,,"October 10, 2013",,South Sea Fleet,Active,"1,200 t",鹤山,,
371,Type 081A mine/ sweeper,Wochi class,845,Qingzhou,,"January 26, 2014",,North Sea Fleet,Active,"1,200 t",青州,,
372,Type 081A mine/ sweeper,Wochi class,846,Yucheng,,"October 10, 2014",,North Sea Fleet,Active,"1,200 t",禹城,,
373,Type 081A mine/ sweeper,Wochi class,732,Renhuai,,2018,,North Sea Fleet,Active,"1,200 t",仁怀,,
374,Type 081A mine/ sweeper,Wochi class,848,Xuanwei,,January 2019,,North Sea Fleet,Active,"1,200 t",宣威,,
375,Type 081A mine/ sweeper,Wochi class,849,Wudi,,2019,,North Sea Fleet,Active,"1,200 t",无棣,,
376,Type 081A mine/ sweeper,Wochi class,831,?,,2019,,East Sea Fleet,Active,"1,200 t",?,,
377,Type 082II mine countermeasure vessel,Wozang class,804,Huoqiu,,2005,,East Sea Fleet,Active,575 t,霍邱,,
378,Type 082II mine countermeasure vessel,Wozang class,818,Kunshan,,2011,,East Sea Fleet,Active,575 t,昆山,,
379,Type 082II mine countermeasure vessel,Wozang class,809,Kaiping,,2015,,South Sea Fleet,Active,575 t,开平,,
380,Type 082II mine countermeasure vessel,Wozang class,811,Rongcheng,,2016,,North Sea Fleet,Active,575 t,荣城,,
381,Type 082II mine countermeasure vessel,Wozang class,814,Donggang,,2016,,North Sea Fleet,Active,575 t,东港,,
382,Type 082II mine countermeasure vessel,Wozang class,808,Rudong,,2017,,East Sea Fleet,Active,575 t,如东,,
383,Type 082I mine sweeper / coastal minelayer,Wosao II class,806,Zhijiang,,2004,,East Sea Fleet,Active,400 t,枝江,,
384,Type 082I mine sweeper / coastal minelayer,Wosao II class,807,Zhuji,,2004,,East Sea Fleet,Active,400 t,诸暨,,
385,Type 082I mine sweeper / coastal minelayer,Wosao II class,816,Haimen,,2004,,East Sea Fleet,Active,400 t,海门,,
386,Type 082I mine sweeper / coastal minelayer,Wosao II class,817,Wenling,,2004,,East Sea Fleet,Active,400 t,温岭,,
387,Type 082I mine sweeper / coastal minelayer,Wosao II class,820,Pingdu,,2004,,North Sea Fleet,Active,400 t,平度,,
388,Type 082I mine sweeper / coastal minelayer,Wosao II class,821,Changyi,,2004,,North Sea Fleet,Active,400 t,昌邑,,
389,Type 082I mine sweeper / coastal minelayer,Wosao II class,822,Yangshuo,,2004,,North Sea Fleet,Active,400 t,阳朔,,
390,Type 082I mine sweeper / coastal minelayer,Wosao II class,823,Yongsheng,,2004,,North Sea Fleet,Active,400 t,永胜,,
391,Type 082I mine sweeper / coastal minelayer,Wosao II class,824,Daxin,,2004,,South Sea Fleet,Active,400 t,大新,,
392,Type 082I mine sweeper / coastal minelayer,Wosao II class,825,Huarong,,2004,,South Sea Fleet,Active,400 t,华容,,
393,Type 082I mine sweeper / coastal minelayer,Wosao II class,826,Rongjiang,,2004,,South Sea Fleet,Active,400 t,榕江,,
394,Type 082I mine sweeper / coastal minelayer,Wosao II class,827,Qionghai,,2004,,South Sea Fleet,Active,400 t,琼海,,
395,Type 082 mine sweeper / coastal minelayer,Wosao I class,800,chun'an,,1988,,East Sea Fleet,Active,313.5 t,淳安,,
396,Type 082 mine sweeper / coastal minelayer,Wosao I class,801,Xiangshan,,1988,,East Sea Fleet,Active,313.5 t,象山,,
397,Type 082 mine sweeper / coastal minelayer,Wosao I class,802,Chongming,,1988,,East Sea Fleet,Active,313.5 t,崇明,,
398,Type 082 mine sweeper / coastal minelayer,Wosao I class,803,Fenghua,,1988,,East Sea Fleet,Active,313.5 t,奉化,,
399,Type 312 minesweeper / mine sweeping drone,Futi class,Various,Not named,,1972 onward,,All fleets,In operational reserve,47 t,Not named,,
400,Type 529 minesweeper / mine sweeping drone,Wonang class,Various,21 in service,,2004/2005-,,All fleets,Active,100 t,Not named,,
401,Type 8101 auxiliary minesweeper,?,Various,Not named,,1975-,,All fleets,In operational reserve,200 t,Not named,,
402,Type 8105 auxiliary minesweeper,FT-14 AIT class,Various,Not named,,1980s,,All fleets,In operational reserve,366.82 t,Not named,,
403,Type 8154 auxiliary minelayer,FT-14 AIT class,Various,Not named,,1981-,,All fleets,In operational reserve,600 t,Not named,,
404,Type 8154 auxiliary minesweeper,FT-14 AIT class,Various,Not named,,1980s,,All fleets,In operational reserve,600 t,Not named,,
405,Type 792 auxiliary minesweeper,FT-14 AIT class,Various,Not named,,1990s,,All fleets,In operational reserve,600 t,Not named,,
406,400 ton-class ammunition ship,?,Y834,Not named,,?,,All fleets,Active,400 t,Not named,,
407,Yantai class,Yantai class,Various,Not named,,3 ships total,,All fleets,Active,"3,300 t",Not named,,
408,"Yuan Wang-class ammunition ship, missile/rocket",Yuan Wang class,Yuan-Wang 21,Long View 21,,"April 1, 2012",,PLA SSF,Active,9080 t,远望 21,,
409,"Yuan Wang-class ammunition ship, missile/rocket",Yuan Wang class,Yuan-Wang 22,Long View 23,,"January 24, 2013",,PLA SSF,Active,9080 t,远望 22,,
410,Type 066,Yuch'in class,Various,Not named,,1980s-,,All fleets,Active,70 t,Not named,,
411,Type 911I,Yunan/Yunnan class,Various,Not named,,1980s-,,All fleets,Active,128 t,Not named,,
412,Type 999,?,Various,Not named,,Early 1970s,,All fleets,Active,95 t,Not named,,
413,Type 999G,?,Various,Not named,,Mid 1970s,,All fleets,Active,98 t,Not named,,
414,Type 999HG,?,Various,Not named,,late 1970s,,All fleets,Active,98 t,Not named,,
415,Type 744A buoy tender,Yannan class,Nan-Biao 463,South Buoy 463,,"Dec 14, 1980",,South Sea Fleet,Active,"2,000 t",南标 463,,
416,Type 744A buoy tender,Yannan class,Bei-Biao 982,North Buoy 982,,Mar 1981,,North Sea Fleet,Active,"2,000 t",北标 982,,
417,Type 744A buoy tender,Yannan class,Bei-Biao 983,North Buoy 983,,May 1981,,North Sea Fleet,Active,"2,000 t",北标 983,,
418,Type 944A buoy tender,Yanni class,Dong-Biao 265,East Buoy 265,,"Jan 23, 2017",,East Sea Fleet,Active,"2,300 t",东标 265,,
419,Type 944A buoy tender,Yanni class,Nan-Biao 467,South Buoy 467,,Jun 2017,,South Sea Fleet,Active,"2,300 t",南标 467,,
420,Type 944A buoy tender,Yanni class,Bei-Biao 989,North-Buoy 989,,"Sept 4, 2018",,North Sea Fleet,Active,"2,300 t",北标 989,,
421,Dulaji-class cable layer,Dulaji class,Bei-Lan 768,North Cable 768,,?,,North Sea Fleet,Active,300 t,北缆 768,,
422,Dulaji-class cable layer,Dulaji class,Bei-Lan 769,North Cable 769,,?,,North Sea Fleet,Active,300 t,北缆 769,,
423,Dulaji-class cable layer,Dulaji class,Dong-Lan 884,East Cable 884,,?,,East Sea Fleet,Active,300 t,东缆 884,,
424,Dulaji-class cable layer,Dulaji class,Dong-Lan 885,East Cable 885,,?,,East Sea Fleet,Active,300 t,东缆 885,,
425,Dulaji-class cable layer,Dulaji class,Nan-Lan 235,South Cable 235,,?,,South Sea Fleet,Active,300 t,南缆 235,,
426,Type 911II cable layer,Yunan/Yunnan class,Various,Not named,,1980s-,,All fleets,Active,128 t,Not named,,
427,Type 991 cable layer,Youdian class,Bei-Lan 764,North Cable 764,,1975 – mid 1980s,,North Sea Fleet,Active,1327 t,北缆 764,,
428,Type 991 cable layer,Youdian class,Bei-Lan 765,North Cable 765,,1975 – mid 1980s,,North Sea Fleet,Active,1327 t,北缆 765,,
429,Type 991 cable layer,Youdian class,Dong-Lan 868,East Cable 868,,1975 – mid 1980s,,East Sea Fleet,Active,1327 t,东缆 868,,
430,Type 991 cable layer,Youdian class,Dong-Lan 873,East Cable 873,,1975 – mid 1980s,,East Sea Fleet,Active,1327 t,东缆 873,,
431,Type 991 cable layer,Youdian class,Dong-Lan 874,East Cable 874,,1975 – mid 1980s,,East Sea Fleet,Active,1327 t,东缆 874,,
432,Type 991 cable layer,Youdian class,Dong-Lan 882,East Cable 882,,1975 – mid 1980s,,East Sea Fleet,Active,1327 t,东缆 882,,
433,Type 991 cable layer,Youdian class,Nan-Lan 234,South Cable 234,,1975 – mid 1980s,,South Sea Fleet,Active,1327 t,南缆 234,,
434,Youlan-class cable layer,Youlan class,Dong-Lan 885,East Cable 885,,"January 30, 2015",,East Sea Fleet,Active,5000 t,东缆 739,,
435,Youlan-class cable layer,Youlan class,Nan-Lan 233,South Cable 233,,2017,,South Sea Fleet,Active,5000 t,南缆 233,,
436,500 cubic meter-class barge,?,Bei-Bo 65,North Barge 65,,?,,North Sea Fleet,Active,? t,北驳 65,,
437,500 cubic meter-class barge,?,Bei-Bo 66,North Barge 66,,?,,North Sea Fleet,Active,? t,北驳 66,,
438,500 cubic meter-class barge,?,Bei-Bo 67,North Barge 67,,?,,North Sea Fleet,Active,? t,北驳 67,,
439,500 cubic meter-class barge,?,Bei-Bo 68,North Barge 68,,?,,North Sea Fleet,Active,? t,北驳 68,,
440,500 cubic meter-class barge,?,Nan-Bo 37,South Barge 37,,?,,South Sea Fleet,Active,? t,南驳 37,,
441,500 cubic meter-class barge,?,Nan-Bo 42,South Barge 42,,?,,South Sea Fleet,Active,? t,南驳 42,,
442,500 cubic meter-class barge,?,Nan-Bo 44,South Barge 44,,?,,South Sea Fleet,Active,? t,南驳 44,,
443,Bo Sea Pearl-class roll-on/roll-off ship,Bo Sea Pearl class,Bo-Hai-Cui-Zhu,Bo Sea Emerald Pearl,,"August 8, 2012",,North Sea Fleet,Active,"36,000 t",渤海翠珠,,
444,Bo Sea Pearl-class roll-on/roll-off ship,Bo Sea Pearl class,Bo-Hai-Jing-Zhu,Bo Sea Crystal Pearl,,"October 10, 2012",,North Sea Fleet,Active,"36,000 t",渤海晶珠,,
445,Bo Sea Pearl-class roll-on/roll-off ship,Bo Sea Pearl class,Bo-Hai-Zuan-Zhu,Bo Sea Diamond Pearl,,February 2015,,North Sea Fleet,Active,"36,000 t",渤海钻珠,,
446,Bo Sea Pearl-class roll-on/roll-off ship,Bo Sea Pearl class,Bo-Hai-Ma-Zhu,Bo Sea Agate Pearl,,March 2015,,North Sea Fleet,Active,"36,000 t",渤海玛珠,,
447,Chinese float-on/float-off ship Donghai Island,Modified Hansa Sonderberg class,868,Donghai Island,,"July 10, 2015",,South Sea Fleet,Active,23000 t,东海岛,,
448,Chinese float-on/float-off ship Zhenhua 33,?,Zhen-Hua 33,Revitalize China 33,,"March 14, 2017",,South Sea Fleet,Active,50000 t,振华 33,,
449,Chinese roll-on/roll-off ship Chang Da Long,?,Chang-Da-Long,Chang-Da-Long,,2013,,North Sea Fleet,Active,20000 t,长达隆,,
450,Chinese roll-on/roll-off ship China Revival,?,Zhong-Hua-Fu-Xing,China Revival,,"November 4, 2019",,North Sea Fleet,Active,45000 t,中华复兴,,
451,Chinese roll-on/roll-off ship Zhong Tie Bo Hai 3,?,Zhong-Tie-Bo Hai 3,China Railway Bo Sea 3,,"June 18, 2008",,North Sea Fleet,Active,25000 t,中铁渤海3号,,
452,Converted/Militarized container ships[10][11],?,Not assigned,Various,,Various,,All fleets,Active,Various,Various,,
453,Darong-class transport / troopship,Darong class,Nan-Yun 830,South Transport 830,,2015,,South Sea Fleet,Active,5000 t,南运 830,,
454,Darong-class transport / troopship,Darong class,Nan-Yun 831,South Transport 831,,2015,,South Sea Fleet,Active,5000 t,南运 831,,
